source,text
bilibili,收入高的退休群体的养老金降下来才是应该的
bilibili,延迟退休不是让人一直工作，而是拖着不发养老金
bilibili,缺口 因为有人工作20年 退休2w 有人种地一辈子 吃120的低保
bilibili,说实话，现在不缺劳动力，缺的是报酬合理的工作
bilibili,《不矛盾》
bilibili,就冲这个例子，投币了
bilibili,80后百分百参与其中！！！！
bilibili,本质上是收入差距过大吧
bilibili,这个决定很有良心
bilibili,这种情况已经很不错了，至少还都有工作能做到退休年龄
bilibili,那么房地产是否也能出口到国外去收割美元呢？
bilibili,可能意思是70岁再拿退休金，至于能不能工作到70岁那就各凭本事了。
bilibili,有没有国企，公务员事业编的养老发放，普通职工的发放金额对比
bilibili,不矛盾的原因是工作类型不同
bilibili,说的要哭了
bilibili,相信后人的智慧嘛，真是的。
bilibili,为啥是父子，不是母子
bilibili,冷知识，外包，劳务派遣不算他们公司员工
bilibili,去俄罗斯填线
bilibili,普通人没关系人生地不熟的叫出国？你怕不是没被中介整过才能说出这些话
bilibili,主要是退休金缺口大，不是劳动力多少
bilibili,二者不矛盾
bilibili,就怕退休后领的不是退休金，是丧葬费
bilibili,传出去：整个四川都是外卖员、网约车司机……
bilibili,人家最低工资还多，这个不跟上？
bilibili,每个人的悲欢并不相同
bilibili,当下也成问题了，深圳这边7月开始五险一金基数调整为5800元。不管你拿多少都按这个基数缴
bilibili,所以他辞退45岁以下的？
bilibili,35就属于老人了，建议以后35岁退休
bilibili,工资水平怎么不跟进呢？
bilibili,那就别怪老板心黑了自己都不把自己当人
bilibili,笑死了
bilibili,无所谓，延迟尽管延迟，反正我单身狗，攒够了钱，我几时想退休都行，我50岁就退休，你咬我啊
bilibili,俄罗斯缺挖战壕的
bilibili,国外年假双休制度领先那么多，咋没有紧跟其后啊
bilibili,30岁以上为什么工作难找，甚至直接退休，原因是什么？
bilibili,立马退缴
bilibili,这不是属于违约
bilibili,你只是要交9年社保，谁告诉你有工作了？
bilibili,统计学挺乐观啊
bilibili,延迟退休要分职业
bilibili,增加工作时长和减薪是老板提出来的吧，劳动者是被迫内卷，老板为了压榨劳动力，不能搞错因果顺序
bilibili,上海缴费基数接近7600元
bilibili,劳动力缺乏？那为什么工作难找？
bilibili,所以，现在买养老保险以后能领到吗
bilibili,确实卷的人特别讨厌。
bilibili,工资什么时候可以有这种涨幅？
bilibili,30都嫌老了
bilibili,公务员和事业单位，老师退休后退休金高的离谱，能不短缺吗
bilibili,剑
bilibili,不多
bilibili,那我90后如何应对？赶上最高房价最晚退休，最难就业。。。
bilibili,要不是我真去过欧洲我就信了5个小时。12小时的都不少
bilibili,“不矛盾”
bilibili,那些退休金高的离谱的不能调一下？自己家人也不能表现的这么明显啊
bilibili,延迟退休和当初高校扩招一样都是为了缓解市场压力
bilibili,2050我也成为一个老比登了
bilibili,传统行业与日新月异的科技企业本质不同 裁人的年龄也不出
bilibili,你说比宇宙年龄还大才能退休我都相信了
bilibili,是啊
bilibili,有丧假。。。不要说这么惨
bilibili,人家一周工作多少时间不出来说说吗
bilibili,有些人还不是白拿工资又不用去上班
bilibili,这已经卷不过墨西哥人了
bilibili,2000年以后北京的工作就是这么卷没的，800底薪的活还有人0薪干甚至交钱干
bilibili,应该是提前到55岁退休，不然年轻人哪有工作岗位？
bilibili,这是混的好的，这么大岁数了还能请假，更多的是没人要家里蹲
bilibili,我家一个亲戚干美容美甲一个亲戚单干辅导补课，都赚疯了，但他们只交很少的社保
bilibili,80后是真的惨，独生子，35下岗，60退休
bilibili,65是法定退休金领取年龄，并不是你们到了能65岁，都有工作。
bilibili,海外：输入性通胀
bilibili,国外假期也多，怎么不学呢？
bilibili,有些厂23岁的都辞退，更别说35岁了
bilibili,所以晚婚啊
bilibili,我妈才领两千
bilibili,我们60岁退休，工作时长已经比他们65岁的还长了
bilibili,太阴间了
bilibili,幽默极了
bilibili,请把工资待遇也跟上
bilibili,没问题甚至还能涨
bilibili,紧缺的不是劳动力，是苦力
bilibili,华为开的头
bilibili,你在广州，还说你不是铁锤？
bilibili,65了
bilibili,也有年轻的
bilibili,华为的是不是把李洪元的事忘了？
bilibili,机器人时代已经开始了，还需要紧跟吗？应该提前退休才对。
bilibili,随便，我不交社保自己四十岁退休
bilibili,找个工作不交还不行
bilibili,公会不同意，现在技工移民难办了吧，
bilibili,00后10后可能以后80岁退休
bilibili,好的，铁锤
bilibili,为什么不行，就算房子无法出口，也可以出口房票啊
bilibili,通透
bilibili,河南人
bilibili,不奇怪，等我60岁的时候估计都调整到70岁了
bilibili,哎！农村的太苦了
bilibili,要能去还等现在啊（
bilibili,↑因为人前面假设对象是他自己的儿子，别看到沾性别的东西就发癫
bilibili,哈哈哈 老板 已经去见昊天上帝了
bilibili,啊
bilibili,唉，在家待业，工作是真难找
bilibili,太难了
bilibili,35左右下岗了就真的找不到好工作了
bilibili,这段太扎心了
bilibili,我要是有朝九晚五的清闲工作，我愿意70岁退休
bilibili,延迟退休只是暂时解决压力 后面还是需要继续延迟退休年龄
bilibili,他们都想到所有利弊 解决老年化 劳动力方法他们都想到的
bilibili,那么为啥导致老年化呢？是想到过少子化 为啥少子化呢？也想到过年轻人压力大 少生或不生
bilibili,不买社保
bilibili,私企老板：活干不完？年纪大了体力跟不上了吧，换年轻人上
bilibili,私企老板
bilibili,我建议一步到位75岁退休
bilibili,标题优秀
bilibili,就业率情况下，还是研究提前退休吧
bilibili,31才结婚
bilibili,国外有保障就业噢
bilibili,不矛盾，
bilibili,确实
bilibili,65的话 可以不用交养老保险了，给老婆上个保险就好了
bilibili,上海基数7000多呢
bilibili,国外加班有加班费怎么不学？
bilibili,80后最幸福了吧，啥都赶上了！
bilibili,说好的男女平等呢》
bilibili,而且年轻不注意运动健康你活的到65吗？
bilibili,前面的那时候谁知道退休年纪多少岁
bilibili,我们去年年底补交养老当月实发工资在1000多
bilibili,救命！
bilibili,意料之中，你想想，放假的节日很少，但花钱的节日却很多，意料之中意料之中，不冲突
