,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10
S1,0.87,0.71,0.76,0.6,0.54,0.67,0.56,0.69,0.57,0.63
S2,0.7,0.87,0.86,0.7,0.66,0.66,0.56,0.66,0.63,0.7
S3,0.61,0.69,0.87,0.69,0.7,0.66,0.7,0.6,0.71,0.71
S4,0.63,0.71,0.84,0.87,0.81,0.68,0.67,0.66,0.7,0.65
S5,0.56,0.66,0.84,0.8,0.87,0.77,0.64,0.51,0.83,0.76
S6,0.72,0.67,0.78,0.68,0.86,0.87,0.67,0.58,0.69,0.75
S7,0.59,0.62,0.85,0.68,0.59,0.63,0.87,0.68,0.75,0.66
S8,0.78,0.75,0.75,0.72,0.56,0.6,0.76,0.87,0.76,0.54
S9,0.56,0.59,1.0,0.78,0.79,0.63,0.7,0.65,0.87,0.9
S10,0.59,0.69,0.95,0.75,0.74,0.73,0.66,0.53,0.88,0.87
